candidate,state,pollster,sample_size,pct,start_date,end_date
Donald Trump,Oregon,Emerson,2600,44.2,2024-01-29,2024-07-05
Kamala Harris,Connecticut,CNN,2830,59.8,2024-07-16,2024-08-29
Donald Trump,Missouri,Ipsos,1559,59.2,2024-02-21,2024-09-11
Kamala Harris,Texas,YouGov,1174,49,2024-06-18,2024-07-02
Kamala Harris,Texas,Gallup,2891,45.7,2024-09-06,2024-07-26
Kamala Harris,Oklahoma,Gallup,1976,43.7,2024-05-14,2024-05-16
Donald Trump,California,Emerson,1518,46.1,2024-05-01,2024-04-09
Kamala Harris,South Dakota,Ipsos,2809,50.8,2024-05-31,2024-06-10
Donald Trump,Minnesota,CNN,1285,50.6,2024-09-23,2024-04-04
Kamala Harris,Connecticut,Gallup,759,41.5,2024-06-30,2024-03-03
Kamala Harris,Rhode Island,YouGov,810,41.1,2024-09-18,2024-02-21
Donald Trump,Massachusetts,Gallup,1630,60,2024-06-27,2024-07-19
Kamala Harris,Washington,CNN,2736,57.8,2024-08-06,2024-02-28
Kamala Harris,Oregon,CNN,1133,56.8,2024-09-03,2024-05-26
Donald Trump,Georgia,Ipsos,1161,41.3,2024-02-29,2024-01-09
Donald Trump,Indiana,YouGov,1512,42.3,2024-06-07,2024-02-03
Donald Trump,West Virginia,Gallup,980,46.1,2024-02-28,2024-07-22
Donald Trump,Texas,Ipsos,1901,58.9,2024-05-29,2024-01-08
Kamala Harris,Michigan,Emerson,1682,48.9,2024-01-26,2024-04-06
Kamala Harris,Nevada,YouGov,836,54.6,2024-09-12,2024-09-11
Kamala Harris,Iowa,YouGov,2346,54.6,2024-07-10,2024-05-10
Donald Trump,Michigan,YouGov,2624,40.5,2024-02-04,2024-03-05
Donald Trump,Florida,CNN,992,42.6,2024-05-05,2024-09-11
Kamala Harris,New York,Gallup,1255,57.1,2024-03-11,2024-04-24
Donald Trump,New Mexico,Ipsos,2752,48,2024-06-15,2024-06-21
Donald Trump,Washington,YouGov,1860,51.4,2024-09-22,2024-03-02
Donald Trump,Alaska,Emerson,2739,53.3,2024-01-09,2024-08-02
Kamala Harris,Wyoming,YouGov,996,50.6,2024-02-08,2024-03-26
Kamala Harris,Maryland,Gallup,2514,50.1,2024-04-30,2024-05-16
Kamala Harris,Maine,Emerson,2916,40.8,2024-07-28,2024-08-29
Kamala Harris,Iowa,CNN,1779,56.7,2024-03-29,2024-06-07
Donald Trump,Kentucky,Gallup,2882,56.2,2024-05-21,2024-08-20
Donald Trump,Missouri,Gallup,2045,52.1,2024-08-23,2024-08-28
Kamala Harris,Idaho,Emerson,2279,41.5,2024-06-26,2024-09-17
Donald Trump,Arkansas,Gallup,1168,41.6,2024-06-01,2024-05-21
Kamala Harris,Minnesota,CNN,1915,45.9,2024-05-31,2024-02-23
Donald Trump,Connecticut,CNN,1316,53.9,2024-02-22,2024-03-31
Donald Trump,Illinois,YouGov,2790,50.5,2024-05-25,2024-04-09
Donald Trump,New Mexico,Emerson,1294,47.4,2024-09-21,2024-03-04
Kamala Harris,Idaho,Emerson,1130,48,2024-06-04,2024-06-14
Kamala Harris,Kansas,YouGov,2504,44.8,2024-09-18,2024-09-17
Kamala Harris,Nevada,CNN,2096,48.8,2024-04-23,2024-04-03
Kamala Harris,Washington,YouGov,1005,56.1,2024-04-12,2024-05-27
Donald Trump,Pennsylvania,Gallup,2994,55.8,2024-04-12,2024-09-20
Kamala Harris,Wisconsin,YouGov,728,53,2024-09-04,2024-02-04
Donald Trump,Louisiana,Ipsos,1898,50.9,2024-03-09,2024-07-31
Kamala Harris,Vermont,Ipsos,2941,51.2,2024-06-19,2024-05-02
Kamala Harris,Kansas,CNN,2485,55.4,2024-07-09,2024-02-13
Kamala Harris,Missouri,CNN,2110,42.7,2024-01-25,2024-09-19
Kamala Harris,Oklahoma,Emerson,1646,53.2,2024-04-06,2024-07-07
Kamala Harris,South Dakota,Gallup,1633,48.7,2024-09-15,2024-05-01
Kamala Harris,Delaware,Emerson,2340,40.5,2024-01-21,2024-05-13
Kamala Harris,Minnesota,Ipsos,2922,47,2024-07-15,2024-07-30
Kamala Harris,Iowa,CNN,1984,46.6,2024-03-17,2024-04-09
Kamala Harris,New Mexico,YouGov,751,56.7,2024-07-23,2024-08-10
Kamala Harris,South Carolina,CNN,585,52.8,2024-09-05,2024-04-12
Donald Trump,West Virginia,YouGov,2447,46.6,2024-01-03,2024-05-22
Donald Trump,Arizona,CNN,2900,40.7,2024-05-09,2024-04-20
Donald Trump,Pennsylvania,Emerson,1671,50.8,2024-05-16,2024-07-28
Kamala Harris,Nebraska,Gallup,2857,47.2,2024-04-09,2024-01-09
Kamala Harris,Washington,YouGov,2154,40.9,2024-01-06,2024-05-13
Donald Trump,Michigan,Emerson,2206,41,2024-03-01,2024-08-27
Kamala Harris,Virginia,YouGov,983,48.2,2024-06-12,2024-04-08
Donald Trump,Vermont,Emerson,1196,58.9,2024-04-25,2024-09-16
Kamala Harris,Oregon,CNN,532,44.7,2024-03-03,2024-08-02
Donald Trump,Kentucky,Emerson,1738,47.9,2024-01-20,2024-09-13
Donald Trump,Washington,CNN,2337,43.3,2024-04-10,2024-02-15
Kamala Harris,Louisiana,Gallup,2331,49.4,2024-08-30,2024-03-12
Donald Trump,Minnesota,Gallup,1067,40.3,2024-02-13,2024-08-16
Donald Trump,Illinois,Gallup,844,45.6,2024-01-02,2024-06-18
Donald Trump,Texas,YouGov,2131,55.5,2024-01-10,2024-02-13
Kamala Harris,Texas,Gallup,1017,48.9,2024-04-04,2024-06-08
